region,type,year,quarter,index_value
Ústecký kraj,Byty,2022,1,331.2
Liberecký kraj,Byty,2022,1,269.9
Královéhradecký kraj,Byty,2022,1,260.4
Pardubický kraj,Byty,2022,1,248
Kraj Vysočina,Byty,2022,1,264.2
Jihomoravský kraj,Byty,2022,1,250.5
Olomoucký kraj,Byty,2022,1,250.7
Zlínský kraj,Byty,2022,1,256.1
Česká republika,Byty,2022,2,262.7
ČR bez Prahy,Byty,2022,2,271.9
Hlavní město Praha,Byty,2022,2,250.8
Středočeský kraj,Byty,2022,2,259.1
Jihočeský kraj,Byty,2022,2,288.5
Plzeňský kraj,Byty,2022,2,256.7
Karlovarský kraj,Byty,2022,2,244.6
Ústecký kraj,Byty,2022,2,355.1
Liberecký kraj,Byty,2022,2,288.6
Královéhradecký kraj,Byty,2022,2,274.7
Pardubický kraj,Byty,2022,2,252.7
Kraj Vysočina,Byty,2022,2,276.4
Jihomoravský kraj,Byty,2022,2,265.4
Olomoucký kraj,Byty,2022,2,259.9
Zlínský kraj,Byty,2022,2,269.3
Česká republika,Byty,2022,3,263
ČR bez Prahy,Byty,2022,3,272.2
Hlavní město Praha,Byty,2022,3,250.9
Středočeský kraj,Byty,2022,3,265.8
Jihočeský kraj,Byty,2022,3,284.7
Plzeňský kraj,Byty,2022,3,260.3
Karlovarský kraj,Byty,2022,3,242.1
Ústecký kraj,Byty,2022,3,351.8
Liberecký kraj,Byty,2022,3,287
Královéhradecký kraj,Byty,2022,3,270.4
Pardubický kraj,Byty,2022,3,252.4
Kraj Vysočina,Byty,2022,3,280.2
Jihomoravský kraj,Byty,2022,3,263.8
Olomoucký kraj,Byty,2022,3,259.5
Zlínský kraj,Byty,2022,3,270.4
Česká republika,Byty,2022,4,252.9
ČR bez Prahy,Byty,2022,4,262.2
Hlavní město Praha,Byty,2022,4,240.8
Středočeský kraj,Byty,2022,4,253.8
Jihočeský kraj,Byty,2022,4,270.8
Plzeňský kraj,Byty,2022,4,253.6
Karlovarský kraj,Byty,2022,4,244.9
Ústecký kraj,Byty,2022,4,337.7
Liberecký kraj,Byty,2022,4,282.1
Královéhradecký kraj,Byty,2022,4,271.9
Pardubický kraj,Byty,2022,4,259.7
Kraj Vysočina,Byty,2022,4,271.3
Jihomoravský kraj,Byty,2022,4,248.3
Olomoucký kraj,Byty,2022,4,249.1
Zlínský kraj,Byty,2022,4,250.4
Česká republika,Byty,2022,year,257.7
ČR bez Prahy,Byty,2022,year,266.5
Hlavní město Praha,Byty,2022,year,246.3
Středočeský kraj,Byty,2022,year,258
Jihočeský kraj,Byty,2022,year,277.8
Plzeňský kraj,Byty,2022,year,255.4
Karlovarský kraj,Byty,2022,year,239.6
Ústecký kraj,Byty,2022,year,344
Liberecký kraj,Byty,2022,year,281.9
Královéhradecký kraj,Byty,2022,year,269.4
Pardubický kraj,Byty,2022,year,253.2
Kraj Vysočina,Byty,2022,year,273
Jihomoravský kraj,Byty,2022,year,257
Olomoucký kraj,Byty,2022,year,254.8
Zlínský kraj,Byty,2022,year,261.6
Česká republika,Domy,2023,1,223.7
ČR bez Prahy,Domy,2023,1,227
Hlavní město Praha,Domy,2023,1,201
Středočeský kraj,Domy,2023,1,240.1
Jihočeský kraj,Domy,2023,1,226.8
Plzeňský kraj,Domy,2023,1,227.1
Karlovarský kraj,Domy,2023,1,188
Ústecký kraj,Domy,2023,1,219.7
Liberecký kraj,Domy,2023,1,223.6
Královéhradecký kraj,Domy,2023,1,234
Pardubický kraj,Domy,2023,1,213.2
Kraj Vysočina,Domy,2023,1,214
Jihomoravský kraj,Domy,2023,1,229
Olomoucký kraj,Domy,2023,1,227.9
Zlínský kraj,Domy,2023,1,205.4
Česká republika,Domy,2023,2,220.7
ČR bez Prahy,Domy,2023,2,224.4
Hlavní město Praha,Domy,2023,2,195.8
Středočeský kraj,Domy,2023,2,233.8
Jihočeský kraj,Domy,2023,2,220.4
Plzeňský kraj,Domy,2023,2,232.2
Karlovarský kraj,Domy,2023,2,185.7
Ústecký kraj,Domy,2023,2,227.2
Liberecký kraj,Domy,2023,2,225.8
