region,year,price,type
Jablonec nad Nisou,2020,37229,Rodinné domy
Liberec,2020,44567,Rodinné domy
Semily,2020,34352,Rodinné domy
Královéhradecký kraj,2020,37913,Rodinné domy
Hradec Králové,2020,46958,Rodinné domy
Jičín,2020,32783,Rodinné domy
Náchod,2020,31247,Rodinné domy
Rychnov nad Kněžnou,2020,34558,Rodinné domy
Trutnov,2020,36276,Rodinné domy
Pardubický kraj,2020,35595,Rodinné domy
Chrudim,2020,33852,Rodinné domy
Pardubice,2020,46187,Rodinné domy
Svitavy,2020,32922,Rodinné domy
Ústí nad Orlicí,2020,32674,Rodinné domy
Kraj Vysočina,2020,35459,Rodinné domy
Havlíčkův Brod,2020,34466,Rodinné domy
Jihlava,2020,40435,Rodinné domy
Pelhřimov,2020,33570,Rodinné domy
Třebíč,2020,32726,Rodinné domy
Žďár nad Sázavou,2020,35527,Rodinné domy
Jihomoravský kraj,2020,41629,Rodinné domy
Blansko,2020,35348,Rodinné domy
Brno-město,2020,64207,Rodinné domy
Brno-venkov,2020,40204,Rodinné domy
Břeclav,2020,36937,Rodinné domy
Hodonín,2020,32411,Rodinné domy
Vyškov,2020,36578,Rodinné domy
Znojmo,2020,34289,Rodinné domy
Olomoucký kraj,2020,32572,Rodinné domy
Jeseník,2020,29440,Rodinné domy
Olomouc,2020,36770,Rodinné domy
Prostějov,2020,32296,Rodinné domy
Přerov,2020,28977,Rodinné domy
Šumperk,2020,31194,Rodinné domy
Zlínský kraj,2020,32356,Rodinné domy
Kroměříž,2020,28563,Rodinné domy
Uherské Hradiště,2020,30094,Rodinné domy
Vsetín,2020,33074,Rodinné domy
Zlín,2020,36410,Rodinné domy
Moravskoslezský kraj,2020,34922,Rodinné domy
Bruntál,2020,28289,Rodinné domy
Frýdek-Místek,2020,36350,Rodinné domy
Karviná,2020,34328,Rodinné domy
Nový Jičín,2020,32196,Rodinné domy
Opava,2020,34426,Rodinné domy
Ostrava-město,2020,41683,Rodinné domy
Česká republika,2021,46541,Rodinné domy
Hlavní město Praha,2021,102456,Rodinné domy
Středočeský kraj,2021,62004,Rodinné domy
Benešov,2021,44623,Rodinné domy
Beroun,2021,45022,Rodinné domy
Kladno,2021,49761,Rodinné domy
Kolín,2021,43293,Rodinné domy
Kutná Hora,2021,43135,Rodinné domy
Mělník,2021,45723,Rodinné domy
Mladá Boleslav,2021,44801,Rodinné domy
Nymburk,2021,42486,Rodinné domy
Praha-východ,2021,87665,Rodinné domy
Praha-západ,2021,85231,Rodinné domy
Příbram,2021,42466,Rodinné domy
Rakovník,2021,40315,Rodinné domy
Jihočeský kraj,2021,43274,Rodinné domy
České Budějovice,2021,51072,Rodinné domy
Český Krumlov,2021,42653,Rodinné domy
Jindřichův Hradec,2021,39643,Rodinné domy
Písek,2021,36648,Rodinné domy
Prachatice,2021,36280,Rodinné domy
